Station_Code,Well_Name,LATITUDE,LONGITUDE,Elevation,COUNTY_NAME,BASIN_CODE,BASIN_NAME,Well_Depth,WELL_USE,WELL_TYPE
24N01W05Q003M,Screen: 310-330 ft,39.956729,-122.003131,289.41,Tehama,5-021.56,Los Molinos,415.0,Observation,Part of a nested/multi-completion well
24N01W05Q004M,Screen: 700-790 ft,39.956729,-122.003131,289.41,Tehama,5-021.56,Los Molinos,840.0,Observation,Part of a nested/multi-completion well
24N01W05R002M,Screen: Unknown,39.95675,-121.995642,295.0,Tehama,5-021.56,Los Molinos,160.0,Residential,Unknown
24N01W06J002M,Screen: 290-300 ft,39.962048,-122.017114,272.41,Tehama,5-021.56,Los Molinos,317.0,Observation,Single Well
24N02W01L001M,Screen: 350-450- ft,39.961965,-122.03913,253.42,Tehama,5-021.56,Los Molinos,471.0,Observation,Part of a nested/multi-completion well
24N02W01L002M,Screen: 750-840- ft,39.961965,-122.03913,253.42,Tehama,5-021.56,Los Molinos,862.0,Observation,Part of a nested/multi-completion well
24N02W01R001M,Screen: 640-690- ft,39.958006,-122.029578,251.41,Tehama,5-021.56,Los Molinos,,Observation,Single Well
24N02W01R002M,Screen: 788-843 ft,39.958006,-122.029578,251.41,Tehama,5-021.56,Los Molinos,880.0,Observation,Part of a nested/multi-completion well
24N02W03B001M,Screen: 152-368 ft,39.970291,-122.074517,204.42,Tehama,5-021.56,Los Molinos,368.0,Irrigation,Single Well
24N02W12P001M,Screen: 164-359 ft,39.945556,-122.039923,228.41,Tehama,5-021.56,Los Molinos,370.0,Observation,Part of a nested/multi-completion well
24N02W12P002M,Screen: 760-850 ft,39.945556,-122.039923,228.41,Tehama,5-021.56,Los Molinos,870.0,Observation,Part of a nested/multi-completion well
24N02W24D002M,Screen: 979-989 ft,39.925145,-122.043564,212.41,Tehama,5-021.56,Los Molinos,1040.0,Observation,Part of a nested/multi-completion well
24N02W24D003M,Screen: 731-741 ft,39.925145,-122.043564,212.41,Tehama,5-021.56,Los Molinos,804.0,Observation,Part of a nested/multi-completion well
24N02W24D004M,Screen: 346-356 ft,39.925145,-122.043564,212.41,Tehama,5-021.56,Los Molinos,397.0,Observation,Part of a nested/multi-completion well
24N02W27G001M,Screen: 939-949 ft,39.90775,-122.072131,182.42,Tehama,5-021.56,Los Molinos,940.0,Observation,Part of a nested/multi-completion well
24N02W27G002M,Screen: 495-505 ft,39.90775,-122.072131,182.42,Tehama,5-021.56,Los Molinos,560.0,Observation,Part of a nested/multi-completion well
24N02W27G003M,Screen: 168-178 ft,39.90775,-122.072131,182.42,Tehama,5-021.56,Los Molinos,209.0,Observation,Part of a nested/multi-completion well
24N02W27G004M,Screen: 64-74 ft,39.90775,-122.072131,182.42,Tehama,5-021.56,Los Molinos,93.0,Observation,Part of a nested/multi-completion well
24N02W29N003M,Screen: 200-290 ft,39.899609,-122.122728,212.45,Tehama,5-021.51,Corning,388.0,Observation,Part of a nested/multi-completion well
24N02W29N004M,Screen: 590-710 ft,39.899609,-122.122728,212.45,Tehama,5-021.51,Corning,741.0,Observation,Part of a nested/multi-completion well
24N03W15A001M,Corning Yrd CWT- D,39.94085,-122.182325,280.8,Tehama,5-021.51,Corning,880.0,Observation,Part of a nested/multi-completion well
24N03W15A002M,Corning Yrd CWT- ID,39.94085,-122.182325,280.9,Tehama,5-021.51,Corning,650.0,Observation,Part of a nested/multi-completion well
24N03W15A003M,Corning Yrd CWT- IS,39.94085,-122.182325,281.0,Tehama,5-021.51,Corning,350.0,Observation,Part of a nested/multi-completion well
24N03W15A004M,Corning Yrd CWT- S,39.94085,-122.182325,281.2,Tehama,5-021.51,Corning,220.0,Observation,Part of a nested/multi-completion well
24N03W29Q001M,Screen: 130-360 ft,39.903046,-122.224557,314.18,Tehama,5-021.51,Corning,372.0,Observation,Part of a nested/multi-completion well
